,Manufacturer,Category,Screen Size,Screen,CPU,RAM,Storage,GPU,Operating System,Weight,Price
234,Dell,Notebook,15.6,1920x1080,Intel Core i7,16,256GB SSD,AMD Radeon,Linux,2.36,89900
235,Acer,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,Intel HD,Linux,2.1,39000
236,Asus,Notebook,15.6,1920x1080,AMD A10 Series,4,128GB SSD +  1TB HDD,AMD Radeon,Windows,2.2,57500
237,Asus,Gaming,17.3,1920x1080,Intel Core i7,32,512GB SSD +  1TB HDD,Nvidia GeForce,Windows,4.7,389000
238,Acer,Gaming,15.6,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows,2.5,84600
239,Lenovo,Notebook,15.6,1366x768,Intel Core i3,8,128GB SSD,Intel HD,Windows,2.2,58900
240,Asus,Notebook,17.3,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.1,114500
241,Asus,Notebook,17.3,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,No OS,2.69,88900
242,Dell,Gaming,15.6,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows,2.56,87900
243,Lenovo,2 in 1 Convertible,13.9,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.38,107900
244,Dell,Notebook,15.6,1920x1080,Intel Core i7,8,128GB SSD +  2TB HDD,AMD Radeon,Windows,2.2,98500
245,HP,Notebook,15.6,1366x768,Intel Core i5,8,1TB HDD,Intel HD,Windows,2.04,55900
246,Asus,Gaming,17.3,1920x1080,Intel Core i7,16,256GB SSD,Nvidia GeForce,Windows,3.6,299900
247,HP,Notebook,13.3,1920x1080,Intel Core i5,4,500GB HDD,Intel UHD,Windows,1.49,67500
248,Apple,Ultrabook,13.3,2560x1600,Intel Core i5,8,512GB SSD,Intel Iris,macOS,1.37,204000
249,Dell,2 in 1 Convertible,15.6,1920x1080,Intel Core i7,8,1TB HDD,Intel UHD,Windows,2.08,81900
250,Asus,Gaming,17.3,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,4.3,179900
251,Asus,Notebook,15.6,1366x768,AMD A9 Series,4,1TB HDD,AMD Radeon,Windows,1.68,46900
252,Lenovo,2 in 1 Convertible,13.9,1920x1080,Intel Core i7,8,512GB SSD,Intel UHD,Windows,1.37,184900
253,Acer,Notebook,17.3,1920x1080,Intel Core i3,4,256GB SSD,Nvidia GeForce,Windows,3.0,70200
254,Dell,Ultrabook,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows,1.41,94900
255,HP,Notebook,15.6,1366x768,AMD A6 Series,8,128GB SSD,AMD Radeon,Windows,1.91,44590
256,HP,Notebook,17.3,1920x1080,Intel Core i7,16,1TB HDD,Nvidia GeForce,Windows,2.9,105900
257,MSI,Gaming,17.3,1920x1080,Intel Core i7,16,512GB SSD +  1TB HDD,Nvidia GeForce,Windows,4.14,249900
258,Lenovo,2 in 1 Convertible,15.6,1920x1080,Intel Core i7,8,512GB SSD,Nvidia GeForce,Windows,2.0,169900
259,Dell,Notebook,17.3,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,AMD Radeon,Windows,2.8,114200
260,Lenovo,Notebook,15.6,1920x1080,Intel Core i3,4,256GB SSD,Intel HD,No OS,2.2,44400
261,HP,Notebook,15.6,1920x1080,Intel Core i5,4,500GB HDD,Intel HD,Windows,2.1,72200
262,Dell,Notebook,15.6,1920x1080,Intel Core i5,4,1TB HDD,Intel HD,Windows,2.18,65700
263,Dell,Notebook,15.6,1920x1080,Intel Core i5,8,1TB HDD,AMD Radeon,Windows,2.24,56500
264,Dell,2 in 1 Convertible,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows,2.67,79900
265,Asus,2 in 1 Convertible,13.3,1920x1080,Intel Core i7,8,512GB SSD +  512GB SSD,Intel UHD,Windows,1.1,149900
266,Lenovo,Notebook,15.6,1920x1080,Intel Core i5,4,1TB HDD,Intel HD,No OS,2.2,46700
267,HP,Notebook,17.3,1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows,2.5,101800
268,Lenovo,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Intel UHD,Windows,2.05,88000
269,Apple,Ultrabook,13.3,2560x1600,Intel Core i5,8,512GB SSD,Intel Iris,macOS,1.37,195890
270,Asus,Gaming,17.3,1920x1080,AMD Ryzen 1700,16,256GB SSD +  1TB HDD,AMD Radeon,Windows,3.2,154900
271,Dell,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,AMD Radeon,Linux,2.14,73507
272,Lenovo,2 in 1 Convertible,14.0,2560x1440,Intel Core i7,16,512GB SSD,Intel HD,Windows,1.36,249900
273,Toshiba,Notebook,15.6,1366x768,Intel Core i7,8,500GB HDD,Nvidia GeForce,Windows,2.2,81200
274,Dell,Notebook,15.6,1366x768,Intel Core i7,12,1TB HDD,Intel HD,Windows,2.3,71307
275,Dell,Notebook,17.3,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,AMD Radeon,Linux,2.8,109900
276,Acer,Notebook,15.6,1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows,2.2,74500
277,Lenovo,Notebook,17.3,1600x900,Intel Core i3,4,1TB HDD,Intel HD,Windows,2.8,48900
278,Lenovo,Notebook,17.3,1920x1080,Intel Core i7,8,2TB HDD,Nvidia GeForce,No OS,2.8,84900
279,Lenovo,Notebook,17.3,1600x900,Intel Core i7,6,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.8,85900
280,Dell,Notebook,15.6,1920x1080,Intel Core i3,4,1TB HDD,AMD Radeon,Linux,2.25,42800
281,Lenovo,Gaming,15.6,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows,2.5,82900
282,Lenovo,Notebook,15.6,1920x1080,Intel Core i5,6,256GB SSD,Intel HD,Windows,2.2,57900
283,Acer,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows,3.0,95100
284,Acer,Notebook,15.6,1920x1080,Intel Core i7,12,1TB HDD,Intel HD,Windows,2.15,65900
285,Lenovo,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.95,109700
286,Asus,Ultrabook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows,1.7,97700
287,Lenovo,Gaming,15.6,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.5,117900
288,Lenovo,Notebook,15.6,1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce,No OS,2.2,65901
289,Acer,Notebook,15.6,1366x768,Intel Celeron Dual,2,16GB SSD,Intel HD,Chrome OS,2.19,19900
290,Asus,Gaming,17.3,1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows,3.0,118700
291,HP,Notebook,17.3,1600x900,Intel Core i3,8,1TB HDD,Intel HD,Windows,2.54,48900
292,Dell,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows,2.0,182900
293,Lenovo,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows,2.05,73900
294,Lenovo,Gaming,15.6,1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows,3.2,129900
295,Acer,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Linux,2.5,97900
296,Dell,Workstation,17.3,1920x1080,Intel Core i7,16,256GB SSD,Nvidia Quadro,Windows,3.42,288486
297,Lenovo,Notebook,15.6,1920x1080,AMD A10 Series,6,1TB HDD,AMD Radeon,Windows,2.4,49900
298,Asus,Ultrabook,15.6,1920x1080,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows,1.63,146800
299,Asus,Notebook,14.0,1366x768,Intel Core i3,4,128GB SSD,Intel HD,Windows,1.3,50900
300,Asus,Gaming,17.3,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.9,212200
301,Lenovo,Notebook,17.3,1600x900,Intel Core i5,6,1TB HDD,Nvidia GeForce,Windows,2.8,64900
302,Lenovo,Notebook,15.6,1366x768,Intel Core i5,8,2TB HDD,Nvidia GeForce,No OS,2.2,54900
303,Asus,Gaming,15.6,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.5,126500
304,Lenovo,Notebook,15.6,1366x768,Intel Pentium Quad,4,1TB HDD,Intel HD,No OS,2.2,35999
305,HP,2 in 1 Convertible,13.3,1920x1080,Intel Core i7,16,256GB SSD,Intel HD,Windows,1.28,197500
306,Toshiba,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows,2.2,104300
307,Lenovo,Notebook,15.6,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.3,81900
308,HP,Notebook,15.6,1920x1080,Intel Core i3,4,1TB HDD,Intel HD,Windows,1.86,46900
309,Lenovo,Notebook,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.1,99900
310,Dell,Ultrabook,13.3,3840x2160,Intel Core i7,16,1TB SSD,Intel UHD,Windows,1.21,249900
311,MSI,Gaming,15.6,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.8,209900
312,Acer,Notebook,15.6,1920x1080,AMD A8 Series,8,256GB SSD,AMD Radeon,Windows,2.23,46900
313,Asus,2 in 1 Convertible,11.6,1366x768,Intel Celeron Dual,2,32GB Flash Storage,Intel HD,Windows,1.1,27500
314,Dell,Notebook,15.6,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,AMD Radeon,Windows,2.33,84400
315,HP,2 in 1 Convertible,13.3,3840x2160,Intel Core i7,16,1TB SSD,Intel UHD,Windows,1.29,244900
316,Lenovo,Notebook,13.3,1366x768,Intel Celeron Dual,4,16GB Flash Storage,Intel HD,Chrome OS,1.45,45990
317,HP,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.95,98000
318,Acer,Notebook,11.6,1366x768,Intel Pentium Quad,4,128GB Flash Storage,Intel HD,Windows,1.4,48500
319,HP,Notebook,14.0,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.48,129200
320,Lenovo,Notebook,17.3,1600x900,Intel Core i5,4,1TB HDD,Nvidia GeForce,Windows,2.79,58900
321,Asus,Notebook,14.0,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,2.0,109400
322,HP,Notebook,15.6,1366x768,Intel Core i7,8,1TB HDD,Intel UHD,Windows,2.1,90200
323,Acer,Notebook,15.6,1366x768,AMD A12 Series,8,256GB SSD,AMD Radeon,Windows,2.2,65900
324,Lenovo,Notebook,14.0,1366x768,Intel Celeron Dual,4,32GB Flash Storage,Intel HD,Windows,1.44,29200
325,Acer,Notebook,15.6,1366x768,Intel Core i5,6,1TB HDD,Intel HD,Windows,2.23,54900
326,Asus,Ultrabook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows,1.7,104990
327,HP,Ultrabook,12.5,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.26,133500
328,Dell,Notebook,15.6,3840x2160,Intel Core i7,32,1TB SSD,Nvidia GeForce,Windows,2.06,263900
329,MSI,Gaming,17.3,1920x1080,Intel Core i7,8,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.7,119900
330,Toshiba,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,2.0,94300
331,Asus,Notebook,14.0,1920x1080,Intel Core i7,8,256GB SSD +  1TB HDD,Intel HD,Windows,2.0,133400
332,Lenovo,Notebook,15.6,1920x1080,Intel Core i3,4,1TB HDD,Intel HD,Windows,1.85,44900
333,Asus,Gaming,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows,2.5,99900
334,HP,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.48,126800
335,Dell,Ultrabook,15.6,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,1.9,104900
336,HP,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.84,114400
337,Asus,Notebook,15.6,1366x768,Intel Celeron Dual,4,1TB HDD,Intel HD,Linux,2.0,27499
338,Dell,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows,2.0,114275
339,Dell,Notebook,15.6,1366x768,Intel Celeron Dual,4,500GB HDD,Intel HD,Linux,2.2,27490
340,Lenovo,Notebook,15.6,1920x1080,AMD A12 Series,12,2TB HDD,AMD Radeon,Windows,2.2,89900
341,HP,Notebook,15.6,1920x1080,Intel Core i3,8,1TB HDD,Nvidia GeForce,Windows,2.1,71600
342,Lenovo,2 in 1 Convertible,13.9,3840x2160,Intel Core i7,16,512GB SSD,Intel UHD,Windows,1.4,209900
343,Dell,Ultrabook,13.3,1920x1080,Intel Core i7,8,256GB SSD,Intel UHD,Windows,1.2,157900
344,Lenovo,Gaming,15.6,1920x1080,Intel Core i7,16,256GB SSD +  2TB HDD,Nvidia GeForce,Windows,2.4,112900
345,HP,Notebook,14.0,1366x768,Intel Celeron Dual,2,32GB Flash Storage,Intel HD,Windows,1.44,27900
346,Dell,Ultrabook,15.6,1920x1080,Intel Core i7,16,512GB SSD +  256GB SSD,Intel UHD,Windows,1.88,160796
347,Asus,2 in 1 Convertible,11.6,1366x768,Intel Celeron Dual,4,32GB Flash Storage,Intel HD,Windows,1.5,37500
348,Dell,Ultrabook,15.6,1920x1080,Intel Core i5,8,1TB HDD,AMD Radeon,Windows,1.9,66300
349,Dell,Notebook,15.6,3840x2160,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows,2.06,202742
350,HP,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.84,130400
351,MSI,Gaming,17.3,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.7,140900
352,HP,Workstation,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia Quadro,Windows,2.6,173827
353,Toshiba,Notebook,15.6,1920x1080,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows,2.4,140300
354,Dell,Notebook,15.6,1920x1080,Intel Core i7,8,128GB SSD +  2TB HDD,AMD Radeon,Windows,2.02,97090
355,Lenovo,Notebook,15.6,1366x768,Intel Celeron Dual,4,1TB HDD,Intel HD,No OS,2.2,32199
356,Dell,Gaming,15.6,1920x1080,Intel Core i5,8,1TB HDD,Nvidia GeForce,Windows,2.65,99900
357,Dell,Notebook,15.6,1366x768,Intel Core i5,8,2TB HDD,Intel HD,Windows,2.36,55737
358,Dell,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.36,142700
359,HP,Notebook,15.6,1366x768,Intel Core i3,4,500GB HDD,Intel HD,Windows,1.86,43900
360,Asus,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,2.0,94500
361,Lenovo,Notebook,17.3,1600x900,Intel Core i5,6,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.8,71900
362,HP,Notebook,15.6,1920x1080,Intel Core i5,8,1TB HDD,Intel HD,Windows,1.86,63900
363,Lenovo,Notebook,15.6,1366x768,Intel Core i3,8,256GB SSD,Nvidia GeForce,No OS,2.2,49900
364,HP,Notebook,15.6,1366x768,Intel Pentium Quad,8,2TB HDD,Intel HD,Windows,2.04,38900
365,Dell,Notebook,17.3,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,AMD Radeon,Windows,2.8,108500
366,Lenovo,Gaming,15.6,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,No OS,2.4,80900
367,Dell,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,AMD Radeon,Windows,2.33,89900
368,HP,Ultrabook,14.0,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.36,175000
369,Asus,2 in 1 Convertible,15.6,1920x1080,Intel Core i7,12,512GB SSD +  2TB HDD,Nvidia GeForce,Windows,2.26,109900
370,Acer,Notebook,15.6,1366x768,AMD A9 Series,4,128GB SSD,AMD Radeon,Windows,2.1,42600
371,Asus,Gaming,17.3,1920x1080,AMD Ryzen 1700,16,256GB SSD +  1TB HDD,AMD Radeon,Windows,3.25,219900
372,Lenovo,Notebook,17.3,1600x900,AMD A8 Series,4,128GB SSD,AMD Radeon,Windows,2.6,48900
373,Dell,2 in 1 Convertible,13.3,1920x1080,Intel Core i7,8,256GB SSD,Intel UHD,Windows,1.62,86901
374,HP,Notebook,15.6,1920x1080,AMD A9 Series,4,256GB SSD,AMD Radeon,Windows,1.91,48899
375,Lenovo,Netbook,11.6,1366x768,Intel Celeron Quad,4,128GB SSD,Intel HD,Windows,1.59,55300
376,Dell,Notebook,15.6,1366x768,Intel Celeron Dual,4,500GB HDD,Intel HD,Windows,1.8,30900
377,Asus,Notebook,14.0,1366x768,Intel Celeron Dual,4,32GB Flash Storage,Intel HD,Windows,1.5,28600
378,Acer,Notebook,15.6,1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce,Linux,2.4,84600
379,HP,Gaming,17.3,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,3.35,119100
380,Lenovo,Notebook,15.6,1920x1080,Intel Core i3,4,128GB SSD,Intel HD,No OS,1.85,40350
381,Asus,Gaming,15.6,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.3,165500
382,Lenovo,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows,1.5,109900
383,Asus,Ultrabook,13.3,1920x1080,Intel Core i7,16,512GB SSD,Intel HD,Windows,1.1,174890
384,Lenovo,Ultrabook,14.0,2560x1440,Intel Core i7,8,512GB SSD,Intel HD,Windows,1.13,228200
385,Lenovo,Notebook,13.3,1920x1080,Intel Core i3,4,128GB SSD,Intel HD,Windows,1.5,54900
386,Dell,Workstation,15.6,1920x1080,Intel Core i5,8,500GB HDD,AMD FirePro,Windows,2.23,136900
387,Dell,Workstation,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia Quadro,Windows,2.0,213500
388,Lenovo,2 in 1 Convertible,14.0,2560x1440,Intel Core i7,16,512GB SSD,Intel HD,Windows,1.42,250900
389,Asus,Gaming,17.3,1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows,3.0,103900
390,Asus,Gaming,17.3,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,3.0,159100
391,Acer,Notebook,15.6,1366x768,Intel Core i5,12,1TB HDD,Nvidia GeForce,Windows,2.2,69399
392,MSI,Gaming,17.3,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows,2.7,134900
393,Dell,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,AMD Radeon,Linux,2.33,77887
394,HP,Ultrabook,15.6,1920x1080,AMD A9 Series,4,256GB SSD,AMD Radeon,Windows,1.91,49900
395,Lenovo,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,AMD Radeon,Windows,2.1,122956
396,Lenovo,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.9,93800
397,Dell,Workstation,15.6,3840x2160,Intel Core i7,8,256GB SSD,Nvidia Quadro,Windows,1.78,271200
398,Lenovo,Ultrabook,14.0,2560x1440,Intel Core i7,16,1TB SSD,Intel HD,Windows,1.13,262500
399,Lenovo,Notebook,15.6,1366x768,Intel Celeron Dual,4,1TB HDD,Intel HD,Windows,2.2,30600
400,Asus,Gaming,17.3,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.9,152900
401,Lenovo,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD +  1TB HDD,AMD Radeon,Windows,2.1,114450
402,Acer,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Linux,2.5,87900
403,MSI,Gaming,17.3,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.8,224900
404,Asus,Ultrabook,14.0,1920x1080,Intel Core i7,8,512GB SSD,Intel HD,Windows,1.1,187300
405,Toshiba,Ultrabook,13.3,1920x1080,Intel Core i7,16,512GB SSD,Intel HD,Windows,1.2,174700
406,Dell,Ultrabook,14.0,1920x1080,Intel Core i7,8,512GB SSD,Intel HD,Windows,1.36,168000
407,Lenovo,Notebook,15.6,1920x1080,Intel Core i3,4,500GB HDD,Intel HD,Windows,2.2,40900
408,Lenovo,Notebook,11.6,1366x768,Intel Celeron Dual,2,32GB Flash Storage,Intel HD,Windows,1.15,30445
409,Lenovo,Workstation,15.6,1920x1080,Intel Core i7,8,512GB SSD,Nvidia Quadro,Windows,2.67,192500
410,Lenovo,Ultrabook,14.0,2560x1440,Intel Core i7,8,512GB SSD,Nvidia GeForce,Windows,1.7,194300
411,HP,Notebook,15.6,1920x1080,Intel Core i3,4,1TB HDD,AMD Radeon,Windows,2.1,46900
412,Acer,2 in 1 Convertible,13.3,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.6,78901
413,Asus,2 in 1 Convertible,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.27,92800
414,Dell,Notebook,15.6,1920x1080,Intel Core i5,4,256GB SSD,AMD Radeon,Linux,2.3,59890
415,Dell,Notebook,13.3,1366x768,Intel Core i3,4,128GB SSD,Intel HD,Windows,1.65,68900
416,HP,Ultrabook,14.0,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.43,150000
417,Dell,Notebook,15.6,1366x768,Intel Core i5,8,1TB HDD,Intel HD,Windows,2.14,53995
418,Lenovo,Ultrabook,14.0,1920x1080,Intel Core i7,8,256GB SSD,AMD Radeon,Windows,1.75,121538
419,Lenovo,2 in 1 Convertible,15.6,3840x2160,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows,2.0,189900
420,Chuwi,Notebook,12.3,2736x1824,Intel Celeron Quad,6,64GB Flash Storage,Intel HD,Windows,1.4,44900
421,HP,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,2.31,142700
422,Asus,Notebook,15.6,1920x1080,Intel Core i3,8,1TB HDD,Nvidia GeForce,Linux,2.3,59700
423,Dell,Gaming,17.3,2560x1440,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,4.42,279900
424,Dell,Gaming,15.6,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.62,115900
425,Dell,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD +  2TB HDD,AMD Radeon,Windows,2.02,114240
426,Dell,Ultrabook,14.0,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Linux,1.6,109900
427,HP,Gaming,17.3,1920x1080,Intel Core i7,12,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,3.35,199900
428,Mediacom,2 in 1 Convertible,11.6,1920x1080,Intel Celeron Dual,4,32GB SSD,Intel HD,Windows,1.16,29900
429,Samsung,Netbook,11.6,1366x768,Intel Celeron Dual,4,16GB Flash Storage,Intel HD,Chrome OS,1.15,26900
430,Lenovo,Notebook,13.3,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.4,101000
431,Lenovo,Notebook,14.0,1920x1080,Intel Core i3,4,128GB SSD,Intel HD,Windows,1.7,59900
432,Lenovo,Workstation,15.6,3840x2160,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows,2.3,244500
433,Lenovo,Notebook,15.6,1920x1080,Intel Core i7,16,512GB SSD,Nvidia Quadro,Windows,2.5,244900
434,Asus,Gaming,17.3,1920x1080,AMD Ryzen 1600,8,256GB SSD +  1TB HDD,AMD Radeon,Windows,3.2,169500
435,HP,Notebook,15.6,1366x768,Intel Celeron Dual,4,500GB HDD,Intel HD,Windows,2.1,34700
436,Google,Ultrabook,12.3,2400x1600,Intel Core i7,16,512GB SSD,Intel HD,Chrome OS,1.1,219900
437,Lenovo,Ultrabook,14.0,2560x1440,Intel Core i7,24,512GB SSD,Intel HD,Windows,1.32,238200
438,Asus,Notebook,15.6,1920x1080,Intel Core i5,4,256GB SSD,Intel HD,Linux,2.0,55900
439,Lenovo,Notebook,17.3,1600x900,AMD A6 Series,8,1TB HDD,AMD Radeon,Windows,2.8,51900
440,Dell,Notebook,15.6,1920x1080,Intel Core i5,4,256GB SSD,AMD Radeon,Windows,2.2,74900
441,Lenovo,Ultrabook,12.5,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.36,142900
442,Lenovo,Notebook,15.6,1920x1080,Intel Pentium Quad,4,128GB SSD,Intel HD,Windows,2.2,34900
443,HP,Gaming,15.6,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.2,109900
444,Dell,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows,1.64,117900
445,Acer,Notebook,15.6,1366x768,Intel Core i5,4,500GB HDD,Intel HD,Linux,2.4,44180
446,Dell,Workstation,15.6,1920x1080,Intel Xeon E3,8,64GB Flash Storage +  1TB HDD,Nvidia Quadro,Windows,2.23,199300
447,MSI,Gaming,15.6,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows,2.2,102774
448,Microsoft,Ultrabook,13.5,2256x1504,Intel Core i7,16,512GB SSD,Intel Iris,Windows,1.25,258900
449,HP,Notebook,15.6,1366x768,Intel Core i5,8,128GB SSD,Intel HD,Windows,1.91,58900
450,Dell,Workstation,15.6,1920x1080,Intel Core i7,16,256GB SSD,Nvidia Quadro,Windows,2.17,197500
451,HP,Workstation,15.6,1920x1080,Intel Core i7,8,512GB SSD,Intel HD,Windows,2.31,153400
452,Lenovo,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.65,134500
453,Dell,Notebook,15.6,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,AMD Radeon,Windows,2.36,97900
454,Dell,2 in 1 Convertible,11.6,1366x768,Intel Pentium Quad,4,500GB HDD,Intel HD,Windows,1.47,47900
455,Dell,Notebook,17.3,1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows,4.42,204600
456,Microsoft,Ultrabook,13.5,2256x1504,Intel Core M,4,128GB SSD,Intel HD,Windows,1.252,98900
457,Microsoft,Ultrabook,13.5,2256x1504,Intel Core i7,8,256GB SSD,Intel Iris,Windows,1.25,179900
458,HP,Notebook,17.3,1600x900,Intel Core i3,8,256GB SSD,Intel HD,Windows,2.5,63990
459,Acer,Notebook,15.6,1920x1080,Intel Core i3,4,1TB HDD,Nvidia GeForce,Windows,2.23,54400
460,Acer,Netbook,11.6,1366x768,Intel Celeron Dual,4,128GB SSD,Intel HD,Windows,1.4,43500
461,Asus,Notebook,15.6,1920x1080,Intel Core i5,8,1TB HDD,Intel HD,Windows,2.37,74900
462,Lenovo,Notebook,14.0,1920x1080,Intel Core i7,8,512GB SSD,AMD Radeon,No OS,1.5,79900
463,Lenovo,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia Quadro,Windows,2.67,209000
464,Asus,Notebook,15.6,1366x768,Intel Pentium Quad,4,500GB HDD,Intel HD,Windows,2.0,30400
465,Acer,Notebook,15.6,1366x768,Intel Core i3,4,500GB HDD,Nvidia GeForce,Windows,2.2,46900
