Manufacturer,Category,Screen Size,Screen,CPU,RAM,Storage,GPU,Operating System,Weight,Price,Sales
Lenovo,Notebook,13.3,1920x1080,Intel Core i3,4,128GB SSD,Intel HD,Windows,1.5,54900,22939
Dell,Notebook,14,1366x768,Intel Core i3,8,128GB SSD,Intel HD,Windows,1.79,74000,16536
Lenovo,Notebook,15.6,1366x768,Intel Core i3,8,128GB SSD,Intel HD,Windows,2.2,58900,22479
Lenovo,Notebook,13.3,1920x1080,Intel Core i3,4,1GB SSD,Intel HD,Windows,1.44,73500,15546
Lenovo,Notebook,15.6,1920x1080,Intel Core i3,4,128GB SSD,Intel HD,No OS,1.85,40350,18751
Acer,Notebook,15.6,1920x1080,Intel Core i3,4,1TB HDD,Nvidia GeForce,Windows,2.2,53000,21232
HP,Notebook,15.6,1920x1080,Intel Core i3,8,256GB SSD,Intel HD,Windows,1.86,53900,22619
Lenovo,Notebook,15.6,1920x1080,Intel Core i3,4,1TB HDD,Intel HD,No OS,2.2,46900,14193
Lenovo,Notebook,15.6,1920x1080,Intel Core i3,4,128GB SSD,Intel HD,Windows,2.2,49900,20144
Acer,Notebook,14,1366x768,Intel Core i3,8,1TB HDD,Intel HD,Windows,2.1,38900,20021
Lenovo,Notebook,15.6,1366x768,Intel Core i3,8,256GB SSD,Nvidia GeForce,No OS,2.2,49900,20961
Asus,Notebook,15.6,1920x1080,Intel Core i3,8,1TB HDD,Nvidia GeForce,Linux,2.3,59700,17245
Lenovo,Notebook,15.6,1920x1080,Intel Core i3,4,1TB HDD,AMD Radeon,No OS,2.2,47900,20534
Lenovo,Notebook,15.6,1920x1080,Intel Core i3,4,128GB SSD,Intel HD,Windows,2.05,63000,22584
Acer,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,Intel HD,Linux,2.1,39000,15038
HP,Notebook,17.3,1600x900,Intel Core i3,8,1TB HDD,Intel HD,Windows,2.65,54415,22732
HP,Notebook,15.6,1920x1080,Intel Core i3,4,1TB HDD,Intel HD,Windows,2.1,47800,21633
HP,Notebook,15.6,1366x768,Intel Core i3,4,500GB HDD,Intel HD,Windows,2.31,70515,18438
Dell,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,Intel HD,Windows,2.18,58660,14653
Acer,Notebook,17.3,1600x900,Intel Core i3,8,1TB HDD,Nvidia GeForce,Windows,3.3,62900,18720
Lenovo,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,AMD Radeon,No OS,1.9,36800,16120
Dell,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,AMD Radeon,Linux,2.18,45570,19102
Dell,Notebook,15.6,1366x768,Intel Core i3,8,256GB SSD,Intel HD,Windows,2,66500,17803
Lenovo,Notebook,15.6,1366x768,Intel Core i3,4,128GB SSD,Intel HD,Windows,2.1,42900,20548
Lenovo,Notebook,15.6,1920x1080,Intel Core i3,6,128GB SSD,Nvidia GeForce,Windows,2.4,56900,14718
Lenovo,Notebook,17.3,1600x900,Intel Core i3,4,1TB HDD,Intel HD,Windows,2.8,48900,17517
Lenovo,Notebook,15.6,1920x1080,Intel Core i3,4,1TB HDD,Intel HD,Windows,1.85,44900,15355
Dell,Notebook,13.3,1366x768,Intel Core i3,4,500GB HDD,Intel HD,Windows,1.65,84900,19069
Lenovo,Notebook,15.6,1366x768,Intel Core i3,8,2TB HDD,Nvidia GeForce,No OS,2.2,45900,22355
Acer,Notebook,17.3,1600x900,Intel Core i3,4,1TB HDD,Nvidia GeForce,Windows,3.3,59800,18773
Asus,Notebook,17.3,1920x1080,Intel Core i3,4,1TB HDD,Nvidia GeForce,Windows,2,56400,22509
HP,Notebook,15.6,1366x768,Intel Core i3,4,500GB HDD,Intel HD,Windows,1.86,43900,15138
Acer,Notebook,15.6,1366x768,Intel Core i3,4,500GB HDD,Intel HD,Linux,2.4,36180,15445
Asus,Notebook,15.6,1920x1080,Intel Core i3,6,256GB SSD,Nvidia GeForce,Windows,2,57700,20011
Toshiba,Notebook,15.6,1366x768,Intel Core i3,4,500GB HDD,Intel HD,Windows,2.1,44700,20397
Lenovo,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,Intel HD,No OS,1.9,33900,17356
Acer,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,Intel HD,Windows,2.4,38400,15165
Dell,Notebook,15.6,1366x768,Intel Core i3,6,1TB HDD,Intel HD,Windows,2.3,43900,21944
Lenovo,Notebook,15.6,1920x1080,Intel Core i3,4,256GB SSD,Intel HD,No OS,2.2,44400,20297
Dell,Notebook,15.6,1920x1080,Intel Core i3,8,256GB SSD,AMD Radeon,Windows,2,73900,15029
Dell,Notebook,14,1366x768,Intel Core i3,4,500GB HDD,Intel HD,Windows,1.76,58500,22496
Dell,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,Intel HD,Windows,2.18,55860,16708
Lenovo,Notebook,15.6,1920x1080,Intel Core i3,8,1TB HDD,Nvidia GeForce,No OS,2.2,49900,16188
Lenovo,Notebook,15.6,1366x768,Intel Core i3,4,500GB HDD,Intel HD,Windows,2.1,48990,19266
Lenovo,Notebook,14,1920x1080,Intel Core i3,8,256GB SSD,Intel HD,No OS,1.7,59900,18528
Lenovo,Notebook,15.6,1920x1080,Intel Core i3,4,1TB HDD,Intel HD,Windows,1.85,41490,22705
HP,Notebook,15.6,1920x1080,Intel Core i3,4,500GB HDD,Intel HD,Windows,2.04,68500,22335
HP,Notebook,15.6,1920x1080,Intel Core i3,4,128GB SSD,Intel HD,Windows,1.91,43900,22411
Dell,Notebook,17.3,1600x900,Intel Core i3,4,1TB HDD,AMD Radeon,Windows,2.36,65900,15126
Dell,2 in 1 Convertible,13.3,1920x1080,Intel Core i3,4,1TB HDD,Intel HD,Windows,1.71,64900,16996
Lenovo,2 in 1 Convertible,14,1920x1080,Intel Core i3,4,256GB SSD,Intel HD,Windows,1.74,62900,21807
Dell,2 in 1 Convertible,15,1920x1080,Intel Core i3,4,500GB HDD,Intel HD,Windows,2.08,50900,14392
Acer,Notebook,17.3,1920x1080,Intel Core i3,4,256GB SSD,Nvidia GeForce,Windows,3,70200,20953
Dell,Notebook,15.6,1366x768,Intel Core i3,8,1TB HDD,Intel HD,Windows,2.3,45900,14541
HP,2 in 1 Convertible,14,1920x1080,Intel Core i3,4,128GB SSD,Nvidia GeForce,Windows,1.63,69900,22162
Dell,Notebook,15.6,1366x768,Intel Core i3,8,1TB HDD,Intel HD,Windows,2.3,46901,16925
Dell,Notebook,14,1920x1080,Intel Core i3,4,128GB SSD,Intel HD,Windows,1.6,73587,21658
Dell,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,AMD Radeon,Windows,2.18,61790,19694
Dell,Notebook,15.6,1920x1080,Intel Core i3,4,256GB SSD,AMD Radeon,Linux,2.2,48500,18682
HP,Notebook,15.6,1366x768,Intel Core i3,4,500GB HDD,AMD Radeon,Windows,1.86,43869,19986
Toshiba,Notebook,15.6,1366x768,Intel Core i3,4,128GB SSD,Intel HD,Windows,2.1,49800,19946
Dell,Ultrabook,12.5,1366x768,Intel Core i3,4,500GB HDD,Intel HD,Windows,1.5,113515,20369
HP,Notebook,15.6,1920x1080,Intel Core i3,4,500GB HDD,Intel HD,No OS,1.86,34499,21092
Acer,Notebook,15.6,1920x1080,Intel Core i3,4,256GB SSD,Nvidia GeForce,Windows,2.2,57200,19445
HP,Notebook,13.3,1920x1080,Intel Core i3,4,128GB SSD,Intel HD,Windows,1.49,71900,20313
Acer,Notebook,17.3,1920x1080,Intel Core i3,4,1TB HDD,Nvidia GeForce,Windows,3,65500,19615
HP,Notebook,15.6,1920x1080,Intel Core i3,4,500GB HDD,Intel HD,No OS,2.1,34900,22583
Acer,Notebook,15.6,1366x768,Intel Core i3,4,128GB SSD,Intel HD,Windows,2.1,44900,18893
HP,Notebook,15.6,1366x768,Intel Core i3,4,500GB HDD,Intel HD,No OS,1.86,36490,21541
HP,Notebook,17.3,1600x900,Intel Core i3,8,256GB SSD,Intel HD,Windows,2.5,63990,21741
Lenovo,Notebook,15.6,1366x768,Intel Core i3,8,1TB HDD,Intel HD,Windows,2.2,45900,15738
Dell,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,Intel HD,Linux,2.25,35900,19110
Dell,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,Intel HD,Linux,2.18,44390,16792
Acer,Notebook,15.6,1366x768,Intel Core i3,4,128GB SSD,Intel HD,Linux,2.1,41200,22470
Dell,Notebook,15.6,1366x768,Intel Core i3,6,1TB HDD,Intel HD,Windows,2.3,45900,21587
Dell,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,AMD Radeon,Windows,2.18,61400,19199
Dell,Notebook,15.6,1920x1080,Intel Core i3,4,1TB HDD,AMD Radeon,Windows,2.2,44900,19435
HP,Notebook,15.6,1366x768,Intel Core i3,4,128GB SSD,Intel HD,Windows,1.63,68900,20477
Dell,Notebook,15.6,1920x1080,Intel Core i3,4,256GB SSD,AMD Radeon,Windows,2.2,49890,14668
HP,Notebook,15.6,1920x1080,Intel Core i3,6,1TB HDD,AMD Radeon,Windows,2.04,53900,18098
Dell,Notebook,15.6,1366x768,Intel Core i3,4,500GB HDD,Intel HD,Windows,2.06,48198,14209
Acer,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,Intel HD,Windows,2.1,44700,15762
HP,Notebook,17.3,1600x900,Intel Core i3,8,1TB HDD,Intel HD,Windows,2.54,48900,20419
Dell,Notebook,15.6,1366x768,Intel Core i3,4,128GB SSD,AMD Radeon,Windows,2.3,49900,23145
Apple,Ultrabook,13.3,2560x1600,Intel Core i5,8,128GB SSD,Intel Iris,macOS,1.37,133969,38662
Dell,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,AMD Radeon,Windows,2.13,72800,26781
Dell,Notebook,15.6,1366x768,Intel Core i5,4,1TB HDD,AMD Radeon,Windows,2.18,68499,37483
Dell,Notebook,14,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.6,120500,38720
Dell,Notebook,15.6,1920x1080,Intel Core i5,8,500GB HDD,Intel HD,Windows,1.9,93500,35492
Dell,Notebook,15.6,1920x1080,Intel Core i5,8,1TB HDD,Intel HD,Windows,2.18,83600,33250
Dell,Notebook,15.6,1920x1080,Intel Core i5,8,1TB HDD,AMD Radeon,Linux,2.2,64700,31474
Dell,Notebook,15.6,1920x1080,Intel Core i5,4,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.18,91250,37177
Apple,Ultrabook,11.6,1366x768,Intel Core i5,4,256GB Flash Storage,Intel HD,Mac OS,1.08,95900,41024
Apple,Ultrabook,13.3,2560x1600,Intel Core i5,8,256GB SSD,Intel Iris,macOS,1.37,180360,34462
Dell,Notebook,15.6,1920x1080,Intel Core i5,4,128GB SSD,AMD Radeon,Linux,2.18,56900,37126
Dell,Ultrabook,13.3,3200x1800,Intel Core i5,8,256GB SSD,Intel UHD,Windows,1.23,186900,41982
Apple,Ultrabook,12,2304x1440,Intel Core i5,8,512GB SSD,Intel HD,macOS,0.92,151000,30783
Asus,Ultrabook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows,1.7,97700,32826
Dell,Notebook,15.6,1920x1080,Intel Core i5,4,1TB HDD,AMD Radeon,Windows,2.2,77600,29049
Dell,Notebook,15.6,1366x768,Intel Core i5,4,500GB HDD,Intel HD,Linux,1.93,86900,32002
Asus,2 in 1 Convertible,15.6,1366x768,Intel Core i5,8,1TB HDD,Intel HD,Windows,2.2,73900,27486
Asus,Notebook,15.6,1920x1080,Intel Core i5,8,1TB HDD,Nvidia GeForce,Windows,1.99,90662,34289
Dell,Notebook,15.6,1366x768,Intel Core i5,4,500GB HDD,Intel HD,Windows,1.95,72990,38167
Dell,2 in 1 Convertible,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.6,119900,26798
Dell,Ultrabook,13.3,3200x1800,Intel Core i5,8,256GB SSD,Intel HD,Linux,1.23,109900,41682
Apple,Ultrabook,13.3,1440x900,Intel Core i5,8,128GB Flash Storage,Intel HD,macOS,1.34,89894,29713
Dell,Notebook,15.6,1366x768,Intel Core i5,4,1TB HDD,Intel HD,Windows,2.18,70806,27725
Dell,Ultrabook,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows,1.2,144990,33254
Dell,Ultrabook,12.5,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.36,147220,35583
Asus,2 in 1 Convertible,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.1,135800,34534
Asus,2 in 1 Convertible,13.3,1920x1080,Intel Core i5,6,1TB HDD,Intel HD,Windows,1.5,63901,35858
Dell,Notebook,15.6,1366x768,Intel Core i5,8,128GB SSD,Intel HD,Windows,2.18,71399,34310
Dell,Notebook,17.3,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,AMD Radeon,Windows,2.8,97900,37494
Dell,Notebook,14,1366x768,Intel Core i5,4,500GB HDD,Intel HD,Windows,1.76,75500,34327
Dell,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,AMD Radeon,Windows,2.18,78981,26763
Asus,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,2.37,109900,38728
Asus,Notebook,15.6,1366x768,Intel Core i5,8,1TB HDD,Nvidia GeForce,Linux,2.3,52299,34949
Dell,Notebook,14,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.56,122900,31669
Asus,Notebook,14,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,2,94500,38949
Apple,Ultrabook,13.3,1440x900,Intel Core i5,8,128GB Flash Storage,Intel HD,Mac OS,1.35,109900,36204
Dell,2 in 1 Convertible,13.3,3200x1800,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.24,181300,37923
Dell,Notebook,14,1366x768,Intel Core i5,4,500GB HDD,Intel HD,Windows,1.6,87500,34553
Apple,Ultrabook,13.3,1440x900,Intel Core i5,8,256GB Flash Storage,Intel HD,macOS,1.34,115870,34886
Dell,Notebook,15.6,1366x768,Intel Core i5,4,500GB HDD,Intel HD,Windows,2.24,73700,40029
Apple,Ultrabook,13.3,2560x1600,Intel Core i5,8,256GB SSD,Intel Iris,macOS,1.37,151855,35285
Apple,Ultrabook,13.3,1440x900,Intel Core i5,8,256GB Flash Storage,Intel HD,Mac OS,1.35,99800,27139
Dell,Notebook,15.6,1366x768,Intel Core i5,4,1TB HDD,Intel HD,Linux,2.18,52186,41890
Dell,Ultrabook,12.5,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.26,171337,26294
Dell,Notebook,15.6,1366x768,Intel Core i5,8,1TB HDD,AMD Radeon,Windows,2.36,63899,31109
Dell,2 in 1 Convertible,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,2.191,99900,41611
Apple,Ultrabook,13.3,2560x1600,Intel Core i5,8,256GB SSD,Intel Iris,macOS,1.37,141900,40093
Dell,2 in 1 Convertible,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.24,189900,36586
Dell,Ultrabook,14,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.36,163900,39829
Asus,Ultrabook,14,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.1,113500,26504
Lenovo,2 in 1 Convertible,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.37,139900,34002
Asus,Gaming,17.3,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.73,177000,41815
Lenovo,Notebook,15.6,1920x1080,Intel Core i5,8,1TB Hybrid,AMD Radeon,Windows,2.5,78849,26423
Lenovo,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,2.3,134900,29240
Toshiba,Notebook,13.3,1366x768,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.5,121000,37697
Lenovo,Notebook,15.6,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.3,81900,29681
Dell,Notebook,15.6,1920x1080,Intel Core i5,8,128GB SSD,Intel HD,Windows,1.9,94500,31947
Toshiba,Notebook,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.05,167200,27874
Lenovo,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows,2.05,73900,33806
Lenovo,Notebook,15.6,1920x1080,Intel Core i5,8,2TB HDD,Intel HD,No OS,2.2,51900,26098
Lenovo,Notebook,17.3,1600x900,Intel Core i5,8,1TB HDD,AMD Radeon,Windows,3,65900,32697
Lenovo,Notebook,15.6,1920x1080,Intel Core i5,4,1TB HDD,Nvidia GeForce,Windows,2.3,97700,26513
Lenovo,Notebook,15.6,1920x1080,Intel Core i5,6,256GB SSD,Intel HD,Windows,2.2,57900,38466
Lenovo,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,2.3,104960,29018
Lenovo,Gaming,15.6,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows,2.5,82900,34080
Lenovo,Notebook,14,1920x1080,Intel Core i5,8,256GB SSD,AMD Radeon,Windows,1.75,111602,38436
Toshiba,Notebook,13.3,1920x1080,Intel Core i5,4,128GB SSD,Intel HD,Windows,1.05,128500,38779
Lenovo,2 in 1 Convertible,14,2560x1440,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.36,163700,30301
Toshiba,Ultrabook,13.3,1366x768,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.2,109500,39515
Dell,Notebook,14,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.36,142700,28922
Lenovo,2 in 1 Convertible,14,1920x1080,Intel Core i5,4,128GB SSD,Intel HD,Windows,1.8,83301,41931
Lenovo,2 in 1 Convertible,15.6,1920x1080,Intel Core i5,4,256GB SSD,Intel HD,Windows,2.1,86700,26260
Lenovo,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,No OS,2.3,57300,34053
Lenovo,Notebook,15.6,1920x1080,Intel Core i5,4,1TB HDD,Nvidia GeForce,No OS,2.2,49900,36890
Lenovo,Notebook,14,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.9,107200,41383
Toshiba,Notebook,14,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.47,149000,36828
Dell,Notebook,15.6,3840x2160,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows,2.04,225068,26484
Lenovo,Notebook,15.6,1366x768,Intel Core i5,4,500GB HDD,Intel HD,No OS,2.1,39800,32563
Lenovo,Notebook,17.3,1600x900,Intel Core i5,4,1TB HDD,Nvidia GeForce,Windows,2.79,58900,36272
Asus,Notebook,15.6,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.5,83900,30975
Dell,Notebook,15.6,1366x768,Intel Core i5,8,1TB HDD,AMD Radeon,Windows,2.5,78400,38252
Asus,Gaming,15.6,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.3,164900,35263
Dell,Notebook,15.6,1366x768,Intel Core i5,4,500GB HDD,Intel HD,Linux,2.09,52363,31849
Dell,Notebook,15.6,1366x768,Intel Core i5,4,500GB HDD,AMD Radeon,Windows,2.24,76915,40103
Dell,Ultrabook,12.5,1366x768,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.5,141310,37344
Dell,Notebook,15.6,1920x1080,Intel Core i5,8,1TB HDD,AMD Radeon,Windows,2.36,63880,40181
Asus,Notebook,14,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows,1.4,94100,34271
Dell,Ultrabook,13.3,1920x1080,Intel Core i5,4,256GB SSD,AMD Radeon,Windows,1.4,81835,35037
Dell,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,2.18,75000,39924
Dell,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,AMD Radeon,Windows,2.36,88900,41996
Dell,Ultrabook,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows,1.21,162900,38902
Asus,Notebook,15.6,1366x768,Intel Core i5,4,256GB SSD,Intel HD,Windows,2,58619,38176
Xiaomi,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,No OS,1.95,119900,29638
Acer,Gaming,15.6,1920x1080,Intel Core i5,8,1TB HDD,Nvidia GeForce,Linux,2.4,70900,30552
Dell,Notebook,17.3,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,AMD Radeon,Windows,2.8,108500,40563
Lenovo,Notebook,17.3,1600x900,Intel Core i5,8,1TB HDD,Intel HD,No OS,2.8,53900,29230
Toshiba,Notebook,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.05,147500,29858
Lenovo,Gaming,15.6,1920x1080,Intel Core i5,8,1TB HDD,Nvidia GeForce,Windows,2.4,81900,33404
Toshiba,Ultrabook,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.2,159000,28895
Lenovo,Notebook,14,1920x1080,Intel Core i5,8,1GB SSD,Intel HD,Windows,1.7,119900,36250
Lenovo,Notebook,15.6,1366x768,Intel Core i5,4,128GB SSD,Intel HD,Windows,1.9,49800,28462
Lenovo,Gaming,15.6,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.5,99900,31894
Lenovo,Notebook,17.3,1600x900,Intel Core i5,6,1TB HDD,Nvidia GeForce,Windows,2.8,64900,39950
Dell,Notebook,14,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.6,85900,34916
Dell,2 in 1 Convertible,12.5,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.34,167000,32918
Dell,Notebook,15.6,1366x768,Intel Core i5,12,1TB HDD,Intel HD,Windows,2.25,64900,35737
Dell,Notebook,15.6,1920x1080,Intel Core i5,8,2TB HDD,AMD Radeon,Windows,2.02,75900,31842
Dell,Gaming,15.6,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows,2.56,87900,40499
Acer,2 in 1 Convertible,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.6,68900,41683
Dell,Notebook,15.6,1920x1080,Intel Core i5,4,256GB SSD,AMD Radeon,Linux,2.3,59890,30477
Dell,2 in 1 Convertible,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows,1.62,81900,34909
Dell,Notebook,15.6,1920x1080,Intel Core i5,8,1TB HDD,AMD Radeon,Windows,2.2,67500,27920
Acer,Gaming,15.6,1920x1080,Intel Core i5,16,256GB SSD,Nvidia GeForce,Windows,2.5,129900,41975
Acer,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.4,79900,28583
Acer,Notebook,15.6,1920x1080,Intel Core i5,4,1TB HDD,Nvidia GeForce,Windows,2.23,61600,28911
Dell,Notebook,15.6,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,AMD Radeon,Windows,2.33,84400,32052
Dell,Notebook,15.6,1920x1080,Intel Core i5,8,1TB HDD,AMD Radeon,Windows,2.24,56500,32273
Acer,Gaming,15.6,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows,2.5,84600,39891
Acer,Gaming,15.6,1920x1080,Intel Core i5,8,1TB HDD,Nvidia GeForce,Linux,2.4,79800,33191
Acer,Notebook,15.6,1920x1080,Intel Core i5,4,256GB SSD,Intel UHD,Windows,2.2,68200,32561
Acer,Ultrabook,14,1920x1080,Intel Core i5,8,256GB SSD,Intel Graphics,Windows,1.8,91900,36697
Acer,Notebook,15.6,1366x768,Intel Core i5,4,500GB HDD,Intel HD,Windows,2.23,61900,29790
Acer,Notebook,14,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.56,90200,32345
Acer,Notebook,13.3,1366x768,Intel Core i5,4,128GB SSD,Intel HD,Windows,1.6,65500,32537
Dell,Notebook,15.6,1366x768,Intel Core i5,4,500GB HDD,Intel HD,Windows,1.9,82500,34739
Dell,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,AMD Radeon,Windows,2.2,80000,32335
Dell,Ultrabook,13.3,1920x1080,Intel Core i5,8,128GB SSD,Intel HD,Windows,1.29,89900,40409
Dell,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows,2,114275,34295
Acer,2 in 1 Convertible,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows,1.6,99900,40109
Dell,2 in 1 Convertible,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows,2.67,79900,32026
Dell,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,AMD Radeon,Linux,2.2,67735,32743
Dell,Workstation,15.6,1920x1080,Intel Core i5,8,500GB HDD,AMD FirePro,Windows,2.23,136900,41789
Lenovo,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,No OS,2.2,62900,28675
Dell,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,2.09,106295,37235
Dell,Gaming,15.6,1920x1080,Intel Core i5,8,1TB HDD,Nvidia GeForce,Windows,2.65,99900,35022
Acer,Notebook,15.6,1366x768,Intel Core i5,12,1TB HDD,Nvidia GeForce,Windows,2.2,69399,36081
Acer,Notebook,15.6,1366x768,Intel Core i5,6,1TB HDD,Intel HD,Windows,2.23,54900,31930
Dell,Notebook,15.6,1366x768,Intel Core i5,4,500GB HDD,AMD Radeon,Windows,2.25,59900,30744
Dell,Notebook,15.6,1366x768,Intel Core i5,8,2TB HDD,Intel HD,Windows,2.36,55737,34432
Dell,Ultrabook,13.3,3200x1800,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.29,162400,40274
Acer,Notebook,15.6,1920x1080,Intel Core i5,4,1TB HDD,Nvidia GeForce,Windows,2.2,61300,41678
Apple,Ultrabook,13.3,2560x1600,Intel Core i5,8,512GB SSD,Intel Iris,macOS,1.37,204000,34186
Dell,Notebook,14,1920x1080,Intel Core i5,8,128GB SSD,Intel HD,Windows,1.6,111900,27827
Dell,Notebook,15.6,1366x768,Intel Core i5,8,1TB HDD,Intel HD,Windows,2.14,53995,34329
Dell,2 in 1 Convertible,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.68,88900,31971
Acer,Notebook,15.6,1366x768,Intel Core i5,4,500GB HDD,Intel HD,Linux,2.4,44180,37729
Dell,2 in 1 Convertible,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,2.3,109400,26717
Dell,Gaming,15.6,1920x1080,Intel Core i5,8,1TB Hybrid,Nvidia GeForce,Windows,2.65,94900,31118
Dell,Notebook,15.6,1920x1080,Intel Core i5,8,500GB HDD,Intel HD,Windows,2.09,104644,35681
Acer,Notebook,15.6,1920x1080,Intel Core i5,4,256GB SSD,Nvidia GeForce,Windows,2.23,69100,41537
Dell,Ultrabook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows,1.88,109616,39445
Dell,Ultrabook,15.6,1920x1080,Intel Core i5,8,1TB HDD,AMD Radeon,Windows,1.9,66300,30958
Acer,Notebook,15.6,1920x1080,Intel Core i5,12,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.4,100900,29388
Dell,Ultrabook,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows,1.41,94900,30840
Dell,Notebook,14,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows,1.64,117900,33721
